incident_num,defendant_id,incident_date,arraignment_date,preAct164,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,def_gender,def_race,judge_id,,,
17BU023763,Defendant744,2017-09-11,2017-09-12,1,Fugitive From Justice (Arrest Prior To Requisition),1,1,0,1,15000,Bail,,0,0,Male,White,Judge10,,,
17BU023922,Defendant515,2017-09-13,2017-09-14,1,Simple Assault,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge2,,,
17BU025515,Defendant846,2017-09-28,2017-09-28,1,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,4,0,0,Male,Black,Judge10,,,
17BU012321,Defendant127,2017-09-27,2017-10-01,1,Cruelty To Children Under 10 By One Over 16,2,0,0,1,100,Bail,3,0,1,Male,White,Judge12,,,
17BU00001,Defendant978,2017-10-02,2017-10-03,1,Violation Of An Abuse Prevention Order,2,0,0,0,0,No Bail,5,0,1,Male,Asian,Judge10,,,
17BU025675,Defendant218,2017-09-29,2017-10-04,1,Unlawful Trespass (Felony),1,1,0,0,0,No Bail,4,0,0,Male,White,Judge12,,,
17BU023260,Defendant492,2017-10-04,2017-10-05,1,Drugs - Cocaine, Sale <2.5 Gm,3,1,0,1,2500,Bail,4,0,0,Male,Black,Judge10,,
17BU024395,Defendant46,2017-09-17,2017-10-05,1,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,4,0,0,Female,White,Judge10,,,
17BU024795,Defendant726,2017-09-21,2017-10-05,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,,,
17BU024245,Defendant624,2017-09-16,2017-10-05,1,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,0,0,Male,White,Judge10,,,
17BU026389,Defendant53,2017-10-08,2017-10-09,1,Unlawful Trespass (Felony),4,1,0,0,0,No Bail,6,0,1,Male,White,Judge10,,,
17BU026476,Defendant70,2017-10-09,2017-10-09,1,Burglary,2,1,0,0,0,No Bail,1,0,0,Male,White,Judge10,,,
17BU024852,Defendant125,2017-09-22,2017-10-10,1,Drugs - Cocaine, Possession  Misdemeanor,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,,
17BU012708,Defendant806,2017-05-24,2017-10-10,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,,,
17BU0024212,Defendant663,2017-09-15,2017-10-10,1,Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor,2,0,1,0,0,No Bail,1,1,0,Male,White,Judge12,
17BU024505,Defendant230,2017-09-18,2017-10-10,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge12,,,
17BU023821,Defendant669,2017-09-12,2017-10-10,1,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,1,0,Female,White,Judge12,,,
17BU018251,Defendant790,2017-07-20,2017-10-10,1,Unlawful Trespass (Misdemeanor),1,0,1,1,250,Bail,1,1,0,Female,White,Judge12,,,
17BU026512,Defendant726,2017-10-09,2017-10-10,1,Simple Assault,4,0,1,0,0,No Bail,1,0,1,Male,White,Judge12,,,
17BU014998,Defendant205,2017-06-17,2017-10-16,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,3,0,0,Male,Black,Judge10,,,
17BU027071,Defendant362,2017-10-16,2017-10-16,1,Drugs - Cocaine, Possession  Misdemeanor,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,,
17BU026915,Defendant928,2017-10-14,2017-10-16,1,Domestic Assault,2,0,0,0,0,No Bail,4,0,1,Male,White,Judge10,,,
17BU024600,Defendant657,2017-09-17,2017-10-17,1,Leaving Scene Of An Accident,2,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,,,
17BU026542,Defendant296,2017-10-09,2017-10-19,1,Drugs - Heroin, Trafficking,1,1,0,0,0,Remanded,1,0,0,Male,Black,Judge12,,
17BU023833,Defendant164,2017-09-12,2017-10-19,1,Drugs - Heroin, Trafficking,7,1,0,1,10000,Bail,,0,0,Female,White,Judge10,,
17BU027324,Defendant106,2017-10-19,2017-10-19,1,Violation Of An Abuse Prevention Order,2,0,0,0,0,No Bail,5,0,0,Male,White,Judge1,,,
17A104831,Defendant878,2017-10-20,2017-10-23,1,Aggravated Assault,4,1,0,0,0,No Bail,1,0,0,Male,White,Judge10,,,
17BU025939,Defendant281,2017-10-03,2017-10-24,1,Driving Under The Influence, First Offense,1,0,0,0,0,No Bail,3,0,0,Male,White,Judge10,,
17BU027696,Defendant1015,2017-10-23,2017-10-24,1,Assault And Robbery,1,1,0,1,1500,Bail,5,0,0,Female,White,Judge12,,,
17BU027939,Defendant772,2017-10-10,2017-10-26,1,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,0,Male,White,Judge1,,,
17BU026631,Defendant647,2017-10-11,2017-10-26,1,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,0,Male,White,Judge1,,,
17BU027779,Defendant1028,2017-10-24,2017-10-26,1,Resisting Arrest,2,0,1,0,0,No Bail,1,0,0,Male,Black,Judge1,,,
17BU028096,Defendant260,2017-10-26,2017-10-30,1,Burglary,3,1,0,1,500,Bail,4,0,0,Male,White,Judge1,,,
17BU028343,Defendant58,2017-10-30,2017-10-31,1,Domestic Assault - 1st Degree Aggravated,3,1,0,1,1000,Bail,7,0,0,Male,White,Judge10,,,
17BU024383,Defendant230,2017-09-17,2017-10-31,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,1,1,Male,White,Judge10,,,
17BU024631,Defendant339,2017-08-17,2017-10-31,1,Retail Theft (Misd),2,0,1,0,0,No Bail,3,0,1,Female,White,Judge10,,,
17BU028305,Defendant298,2017-10-29,2017-11-01,1,Domestic Assault - 2nd Degree Aggravated,3,1,0,0,0,No Bail,5,0,0,Male,White,Judge1,,,
17BU028084,Defendant151,2017-10-27,2017-11-02,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,2,0,0,Male,White,Judge2,,,
17BU028098,Defendant465,2017-10-27,2017-11-02,1,Domestic Assault - 1st Degree Aggravated,1,1,0,0,0,No Bail,3,0,0,Male,White,Judge2,,,
17BU025345,Defendant910,2017-09-26,2017-11-03,1,Drugs - Heroin, Sale Felony,8,1,0,1,10000,Bail,,0,0,Male,Black,Judge1,,
17BU028755,Defendant344,2017-11-04,2017-11-06,1,Resisting Arrest,1,0,1,1,5000,Bail,2,0,0,Male,Black,Judge4,,,
17BU028786,Defendant433,2017-11-06,2017-11-06,1,Domestic Assault,1,0,0,0,0,No Bail,5,0,0,Male,White,Judge4,,,
17BU028790,Defendant676,2017-11-05,2017-11-06,1,Driving With A Criminally Suspended License,1,0,1,1,500,Bail,1,1,0,Male,Black,Judge4,,,
17BU027126,Defendant471,2017-10-16,2017-11-06,1,Drugs - Cocaine, Possession  >2.5 Gm,1,1,0,0,0,No Bail,3,0,0,Male,Black,Judge4,,
17WS007009,Defendant143,2017-10-31,2017-11-06,1,Drugs - Heroin, Possession 1+ Grams,2,1,0,1,25000,Bail,3,0,0,Male,Black,Judge4,,
17BU028518,Defendant155,2017-11-01,2017-11-07,1,Violation Of An Abuse Prevention Order,2,0,0,0,0,No Bail,3,0,1,Male,White,Judge10,,,
17BU027395,Defendant382,2017-10-20,2017-11-09,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,2,0,0,Male,Asian,Judge19,,,
17BU026992,Defendant378,2017-10-15,2017-11-09,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,1,0,Female,Black,Judge19,,,
17BU002491,Defendant604,2017-01-30,2017-11-14,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,0,0,Female,Black,Judge10,,,
17BU027149,Defendant72,2017-11-16,2017-11-14,1,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,4,0,0,Male,White,Judge10,,,
17WS006120,Defendant190,2017-09-21,2017-11-16,1,Drugs - Heroin, Possession (Misdemeanor),1,0,1,1,250,Bail,1,1,0,Female,White,Judge2,,
17BU028424,Defendant4,2017-10-31,2017-11-16,1,Retail Theft (Misd),1,0,1,0,0,No Bail,,0,0,Female,White,Judge2,,,
17BU027932,Defendant453,2017-10-20,2017-11-16,1,Unlawful Mischief (Felony),1,1,0,0,0,No Bail,1,0,0,Male,White,Judge2,,,
17BU027932,Defendant162,2017-10-26,2017-11-16,1,Driving Under The Influence, First Offense,1,0,0,0,0,No Bail,1,0,0,Male,White,Judge2,,
17BU028475,Defendant638,2017-11-01,2017-11-16,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge2,,,
17BU027827,Defendant642,2017-10-24,2017-11-16,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,1,0,Female,White,Judge2,,,
17BU029665,Defendant514,2017-11-17,2017-11-20,1,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,5,0,0,Male,White,Judge10,,,
17BU029800,Defendant999,2017-11-19,2017-11-20,1,Driving With A Criminally Suspended License,2,0,1,0,0,No Bail,5,0,0,Male,White,Judge10,,,
17BU029852,Defendant440,2017-11-20,2017-11-20,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,0,1,Female,White,Judge1,,,
17BU029576,Defendant264,2017-11-16,2017-11-21,1,Simple Assault,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge1,,,
17BU028436,Defendant844,2017-10-31,2017-11-21,1,Retail Theft (Misd),2,0,1,0,0,No Bail,3,0,2,Female,Black,Judge1,,,
17BU027413,Defendant1050,2017-11-20,2017-11-21,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,4,0,0,Male,White,Judge1,,,
17BU016754,Defendant91,2017-11-21,2017-11-22,1,Grand Larceny,1,1,0,0,0,No Bail,3,0,0,Male,White,Judge12,,,
17BU028614,Defendant92,2017-11-21,2017-11-22,1,Drugs - Cocaine, Sale <2.5 Gm,2,1,0,0,0,No Bail,3,0,0,Male,Asian,Judge12,,
17BU030074,Defendant868,2017-11-24,2017-11-27,1,Domestic Assault,2,0,0,0,0,No Bail,6,0,0,Male,White,Judge10,,,
17BU024260,Defendant740,2017-09-16,2017-11-28,1,Aggravated Assault,1,1,0,0,0,No Bail,3,0,0,Male,White,Judge1,,,
17BU028707,Defendant104,2017-11-04,2017-11-30,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge18,,,
17BU027827,Defendant642,2017-10-29,2017-11-30,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,1,1,Female,White,Judge18,,,
17BU029262,Defendant947,2017-11-12,2017-11-30,1,Driving Under The Influence, First Offense,1,0,0,0,0,No Bail,4,0,0,Female,White,Judge18,,
17BU026992,Defendant378,2017-10-15,2017-11-30,1,Driving With A Criminally Suspended License,2,0,1,1,200,Bail,1,1,1,Female,Black,Judge18,,,
17BU023922,Defendant696,2017-11-30,2017-11-30,1,Disorderly Conduct - All Other,2,0,1,0,0,No Bail,3,0,2,Female,White,Judge18,,,
17BU030310,Defendant48,2017-11-28,2017-11-30,1,Violation Of An Abuse Prevention Order,3,0,0,1,500,Bail,4,0,1,Male,Black,Judge9,,,
17BU030779,Defendant510,2017-12-04,2017-12-05,1,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,1,1000,Bail,2,0,1,Female,White,Judge10,,,
17BU029350,Defendant231,2017-11-13,2017-12-05,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,0,0,Female,Black,Judge10,,,
17BU029042,Defendant362,2017-11-08,2017-12-05,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,1,2,Male,White,Judge10,,,
17BU027954,Defendant911,2017-11-20,2017-12-07,1,Reckless Endangerment,2,0,0,0,0,No Bail,3,0,0,Male,White,Judge15,,,
17BU031225,Defendant274,2017-12-10,2017-12-11,1,Violation Of Conditions Of Release (Other),4,0,0,0,0,No Bail,3,0,0,Male,White,Judge10,,,
17BU029735,Defendant9,2017-11-18,2017-12-12,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Female,White,Judge10,,,
17BU028301,Defendant909,2017-10-29,2017-12-12,1,Driving Under The Influence; Second And Subsequent Offense,1,0,0,0,0,No Bail,4,0,1,Male,White,Judge10,,,
17BU018832,Defendant270,2017-07-25,2017-12-12,1,Leaving Scene Of An Accident,1,0,1,0,0,No Bail,1,1,0,Female,Black,Judge10,,,
17BU031359,Defendant65,2017-12-12,2017-12-14,1,Stalking,1,0,0,0,0,No Bail,1,1,0,Male,White,Judge3,,,
17BU029737,Defendant810,2017-11-18,2017-12-19,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,1,Male,Asian,Judge10,,,
17BU029574,Defendant627,2017-11-16,2017-12-19,1,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,6,0,1,Female,White,Judge10,,,
