Date Published,Location,Race,Statistic,Count
09/25/20,In-State,American Indian/Alaskan Native,Total Tested,16
09/25/20,In-State,Asian/Pacific Islander,Total Tested,11
09/25/20,In-State,Black,Total Tested,146
09/25/20,In-State,White,Total Tested,1612
09/25/20,In-State,Other/Unknown,Total Tested,80
09/25/20,In-State,American Indian/Alaskan Native,Total Tested Positive,0
09/25/20,In-State,Asian/Pacific Islander,Total Tested Positive,0
09/25/20,In-State,Black,Total Tested Positive,9
09/25/20,In-State,White,Total Tested Positive,44
09/25/20,In-State,Other/Unknown,Total Tested Positive,2
09/25/20,In-State,American Indian/Alaskan Native,Currently Incarcerated Positive Cases,0
09/25/20,In-State,Asian/Pacific Islander,Currently Incarcerated Positive Cases,0
09/25/20,In-State,Black,Currently Incarcerated Positive Cases,0
09/25/20,In-State,White,Currently Incarcerated Positive Cases,0
09/25/20,In-State,Other/Unknown,Currently Incarcerated Positive Cases,0
09/24/20,In-State,American Indian/Alaskan Native,Point-In-Time,10
09/24/20,In-State,Asian/Pacific Islander,Point-In-Time,7
09/24/20,In-State,Black,Point-In-Time,100
09/24/20,In-State,White,Point-In-Time,1037
09/24/20,In-State,Other/Unknown,Point-In-Time,43
09/25/20,Out-of-State,American Indian/Alaskan Native,Total Tested,5
09/25/20,Out-of-State,Asian/Pacific Islander,Total Tested,0
09/25/20,Out-of-State,Black,Total Tested,26
09/25/20,Out-of-State,White,Total Tested,179
09/25/20,Out-of-State,Other/Unknown,Total Tested,5
09/25/20,Out-of-State,American Indian/Alaskan Native,Total Tested Positive,5
09/25/20,Out-of-State,Asian/Pacific Islander,Total Tested Positive,0
09/25/20,Out-of-State,Black,Total Tested Positive,24
09/25/20,Out-of-State,White,Total Tested Positive,151
09/25/20,Out-of-State,Other/Unknown,Total Tested Positive,5
09/25/20,Out-of-State,American Indian/Alaskan Native,Currently Incarcerated Positive Cases,0
09/25/20,Out-of-State,Asian/Pacific Islander,Currently Incarcerated Positive Cases,0
09/25/20,Out-of-State,Black,Currently Incarcerated Positive Cases,0
09/25/20,Out-of-State,White,Currently Incarcerated Positive Cases,0
09/25/20,Out-of-State,Other/Unknown,Currently Incarcerated Positive Cases,0
09/24/20,Out-of-State,American Indian/Alaskan Native,Point-In-Time,5
09/24/20,Out-of-State,Asian/Pacific Islander,Point-In-Time,0
09/24/20,Out-of-State,Black,Point-In-Time,27
09/24/20,Out-of-State,White,Point-In-Time,174
09/24/20,Out-of-State,Other/Unknown,Point-In-Time,5
10/16/20,In-State,American Indian/Alaskan Native,Total Tested,16
10/16/20,In-State,Asian/Pacific Islander,Total Tested,12
10/16/20,In-State,Black,Total Tested,155
10/16/20,In-State,White,Total Tested,1727
10/16/20,In-State,Other/Unknown,Total Tested,86
10/16/20,In-State,American Indian/Alaskan Native,Total Tested Positive,0
10/16/20,In-State,Asian/Pacific Islander,Total Tested Positive,0
10/16/20,In-State,Black,Total Tested Positive,9
10/16/20,In-State,White,Total Tested Positive,44
10/16/20,In-State,Other/Unknown,Total Tested Positive,2
10/16/20,In-State,American Indian/Alaskan Native,Currently Incarcerated Positive Cases,0
10/16/20,In-State,Asian/Pacific Islander,Currently Incarcerated Positive Cases,0
10/16/20,In-State,Black,Currently Incarcerated Positive Cases,0
10/16/20,In-State,White,Currently Incarcerated Positive Cases,0
10/16/20,In-State,Other/Unknown,Currently Incarcerated Positive Cases,0
10/15/20,In-State,American Indian/Alaskan Native,Point-In-Time,10
10/15/20,In-State,Asian/Pacific Islander,Point-In-Time,7
10/15/20,In-State,Black,Point-In-Time,104
10/15/20,In-State,White,Point-In-Time,1004
10/15/20,In-State,Other/Unknown,Point-In-Time,40
10/16/20,Out-of-State,American Indian/Alaskan Native,Total Tested,5
10/16/20,Out-of-State,Asian/Pacific Islander,Total Tested,0
10/16/20,Out-of-State,Black,Total Tested,27
10/16/20,Out-of-State,White,Total Tested,182
10/16/20,Out-of-State,Other/Unknown,Total Tested,5
10/16/20,Out-of-State,American Indian/Alaskan Native,Total Tested Positive,5
10/16/20,Out-of-State,Asian/Pacific Islander,Total Tested Positive,0
10/16/20,Out-of-State,Black,Total Tested Positive,24
10/16/20,Out-of-State,White,Total Tested Positive,151
10/16/20,Out-of-State,Other/Unknown,Total Tested Positive,5
10/16/20,Out-of-State,American Indian/Alaskan Native,Currently Incarcerated Positive Cases,0
10/16/20,Out-of-State,Asian/Pacific Islander,Currently Incarcerated Positive Cases,0
10/16/20,Out-of-State,Black,Currently Incarcerated Positive Cases,0
10/16/20,Out-of-State,White,Currently Incarcerated Positive Cases,0
10/16/20,Out-of-State,Other/Unknown,Currently Incarcerated Positive Cases,0
10/15/20,Out-of-State,American Indian/Alaskan Native,Point-In-Time,5
10/15/20,Out-of-State,Asian/Pacific Islander,Point-In-Time,0
10/15/20,Out-of-State,Black,Point-In-Time,27
10/15/20,Out-of-State,White,Point-In-Time,174
10/15/20,Out-of-State,Other/Unknown,Point-In-Time,5
