DriverEntity,Race,RaceSortOrder,ACSPercent,ACSCount,ACSMaleCount,ACSFemaleCount,
Addison County,White,1,0.953,30028,14796,15232,
Addison County,Black,2,0.017,541,234,165,
Addison County,Asian,3,0.03,955,230,505,
Addison County,Hispanic,4,0,0,0,0,
Addison County,Native American,5,0,291,43,56,
Addison County,Unknown,9,0,282,0,0,
Albany,White,1,1,143,74,69,
Albany,Black,2,0,0,0,0,
Albany,Asian,3,0,0,0,0,
Albany,Hispanic,4,0,0,0,0,
Alburgh,White,1,0.993,446,224,222,
Alburgh,Black,2,0.007,3,0,3,
Alburgh,Asian,3,0,0,0,0,
Alburgh,Hispanic,4,0,0,0,0,
All Vermont,White,1,0.96,1003137,490838,512299,
All Vermont,Black,2,0.017,17306,7213,5007,
All Vermont,Asian,3,0.023,24447,8230,10940,
All Vermont,Hispanic,4,0,0,0,0,
All Vermont,Native American,5,0,14224,1332,2344,
All Vermont,Unknown,9,0,7851,0,0,
Arlington,White,1,0.969,1079,517,562,
Arlington,Black,2,0,0,0,0,
Arlington,Asian,3,0.031,35,0,35,
Arlington,Hispanic,4,0,0,0,0,
Barnet,White,1,0.904,113,69,44,
Barnet,Black,2,0.096,12,0,12,
Barnet,Asian,3,0,0,0,0,
Barnet,Hispanic,4,0,0,0,0,
Barre City,White,1,0.974,7022,3274,3748,
Barre City,Black,2,0.02,145,62,29,
Barre City,Asian,3,0.006,44,0,24,
Barre City,Hispanic,4,0,0,0,0,
Barre City,Native American,5,0,71,1,0,
Barre City,Unknown,9,0,0,0,0,
Barre Town,White,1,0.968,6446,3085,3361,
Barre Town,Black,2,0.031,205,76,20,
Barre Town,Asian,3,0.002,10,0,10,
Barre Town,Hispanic,4,0,0,0,0,
Barre Town,Native American,5,0,38,0,0,
Barre Town,Unknown,9,0,9,0,0,
Barton,White,1,0.959,449,205,244,
Barton,Black,2,0,0,0,0,
Barton,Asian,3,0.041,19,0,5,
Barton,Hispanic,4,0,0,0,0,
Bellows Falls,White,1,0.962,2304,1033,1271,
Bellows Falls,Black,2,0.03,72,8,64,
Bellows Falls,Asian,3,0.008,18,18,0,
Bellows Falls,Hispanic,4,0,0,0,0,
Bellows Falls,Native American,5,0,99,7,0,
Bellows Falls,Unknown,9,0,6,0,0,
Bennington,White,1,0.976,7311,3537,3774,
Bennington,Black,2,0.006,47,38,7,
Bennington,Asian,3,0.018,136,48,88,
Bennington,Hispanic,4,0,0,0,0,
Bennington,Native American,5,0,169,20,0,
Bennington,Unknown,9,0,27,0,0,
Bennington County,White,1,0.974,29139,13885,15254,
Bennington County,Black,2,0.008,231,159,31,
Bennington County,Asian,3,0.018,534,203,247,
Bennington County,Hispanic,4,0,0,0,0,
Bennington County,Native American,5,0,568,27,0,
Bennington County,Unknown,9,0,164,0,0,
Benson,White,1,0.973,217,98,119,
Benson,Black,2,0,0,0,0,
Benson,Asian,3,0.027,6,0,0,
Benson,Hispanic,4,0,0,0,0,
Berlin,White,1,0.992,2396,1107,1289,
Berlin,Black,2,0.005,13,7,0,
Berlin,Asian,3,0.003,7,0,7,
Berlin,Hispanic,4,0,0,0,0,
Berlin,Native American,5,0,22,10,0,
Berlin,Unknown,9,0,0,0,0,
Bethel,White,1,0.981,507,228,279,
Bethel,Black,2,0.019,10,10,0,
Bethel,Asian,3,0,0,0,0,
Bethel,Hispanic,4,0,0,0,0,
Bethel,Native American,5,0,6,0,0,
Bethel,Unknown,9,0,0,0,0,
Bradford,White,1,1,445,233,212,
Bradford,Black,2,0,0,0,0,
Bradford,Asian,3,0,0,0,0,
Bradford,Hispanic,4,0,0,0,0,
Bradford,Native American,5,0,0,0,0,
Bradford,Unknown,9,0,0,0,0,
Brandon,White,1,0.96,1010,511,499,
Brandon,Black,2,0,0,0,0,
Brandon,Asian,3,0.04,42,19,23,
Brandon,Hispanic,4,0,0,0,0,
Brandon,Native American,5,0,0,0,0,
Brandon,Unknown,9,0,0,0,0,
Brattleboro,White,1,0.942,5345,2533,2812,
Brattleboro,Black,2,0.022,126,20,14,
Brattleboro,Asian,3,0.036,205,82,119,
Brattleboro,Hispanic,4,0,0,0,0,
Brattleboro,Native American,5,0,117,0,5,
Brattleboro,Unknown,9,0,107,0,0,
Brighton,White,1,0,0,0,0,
Brighton,Black,2,0,0,0,0,
Brighton,Asian,3,0,0,0,0,
Brighton,Hispanic,4,0,0,0,0,
