"SourceFile","IncidentNumber","Agency","IncidentDateTime","CallType","Area","ReasonForUseOfForce","Disposition","Arrest","MostSeriousCharge","OfficersInvolvedNum","OfficerRank","OfficerAge","OfficerRace","OfficerSex","OfficerTypeOfForceUtilized","OfficerPhysicalEmptyhand","OfficerOcSprayDisplay","OfficerOcSpray","OfficerTaserDisplay","OfficerTaser","OfficerFirearmPointed","OfficerFirearmFired","PrimaryOrAssistingOfficer","OfficerInjured","OfficerInjury","SubjectID","SubjectAge","SubjectRace","SubjectSex","SubjectMH","SubjectAlcohol","SubjectDrug","SubjectLevelOfResistance","SubjectRefusedCommands","SubjectWalkRan","SubjectThreats","SubjectEscape","SubjectAssaultCues","SubjectPassive","SubjectActive","SubjectAssaultive","SubjectUsedWeapon","SubjectPossessedWeapon","SubjectWeaponPossessed","SubjectInjured","SubjectInjury","SubjectMedical"
"BPD_UseOfForce_2012_2018.xlsx","12BU000029","Burlington","2012-01-01 03:20:00","Disorderly Conduct","D","","",1,"Disorderly Conduct - All Other 13 VSA 1026 90C",1,"U",0,"Unknown","U","Empty Hand Control",1,0,0,0,0,0,0,"",1,"","Subject 252",34,"White","M",0,1,0,"",0,0,1,0,1,0,1,0,0,0,"",1,"","Transported to ER"
"BPD_UseOfForce_2012_2018.xlsx","12BU000125","Burlington","2012-01-02 09:53:00","Arrest on Warrant","B","","",1,"",1,"U",0,"Unknown","U","Firearm Pointed",0,0,0,0,0,1,0,"",1,"","Subject 747",56,"White","M",0,0,0,"",0,0,0,1,0,0,0,0,0,0,"",0,"","No"
"BPD_UseOfForce_2012_2018.xlsx","12BU000308","Burlington","2012-01-04 15:37:00","Violation of Conditions of Release","B","","",1,"",1,"U",0,"Unknown","U","Empty Hand Control",1,0,0,0,0,0,0,"",1,"","Subject 1291",39,"White","F",1,0,1,"",0,0,0,1,0,0,1,0,0,0,"",1,"","Evaluated at scene"
"BPD_UseOfForce_2012_2018.xlsx","12BU000536","Burlington","2012-01-06 22:33:00","Domestic Disturbance","C","","",0,"",1,"U",0,"Unknown","U","Empty Hand Control",1,0,0,0,0,0,0,"",1,"","Subject 106",25,"White","M",1,1,0,"",0,0,1,0,1,0,0,0,0,0,"",0,"","No"
"BPD_UseOfForce_2012_2018.xlsx","12BU000615","Burlington","2012-01-07 18:05:00","Intoxication","E","","",0,"",1,"U",0,"Unknown","U","Empty Hand Control",1,0,0,0,0,0,0,"",1,"","Subject 1052",50,"White","M",0,1,0,"",0,0,0,0,1,1,0,0,0,0,"",0,"","No"
"BPD_UseOfForce_2012_2018.xlsx","12BU000787","Burlington","2012-01-09 18:02:00","Trespass","D","","",0,"",1,"U",0,"Unknown","U","",0,0,0,0,0,0,0,"",1,"","Subject 570",23,"Black","M",0,0,0,"",1,0,0,0,0,1,0,0,0,0,"",0,"","No"
"BPD_UseOfForce_2012_2018.xlsx","12BU000890","Burlington","2012-01-10 21:46:00","Assault - Aggravated","E","","",1,"",1,"U",0,"Unknown","U","Empty Hand Control",1,0,0,0,0,0,0,"",1,"","Subject 681",25,"White","M",1,0,0,"",0,0,0,0,0,0,1,0,0,0,"",0,"","Evaluated at scene"
"BPD_UseOfForce_2012_2018.xlsx","12BU000890","Burlington","2012-01-10 21:46:00","Assault - Aggravated","E","","",1,"",1,"U",0,"Unknown","U","Oc Spray Use",0,0,1,0,0,0,0,"",1,"","Subject 642",44,"White","M",1,0,0,"",1,0,1,0,0,0,1,0,0,0,"",0,"","Evaluated at scene"
"BPD_UseOfForce_2012_2018.xlsx","12BU000897","Burlington","2012-01-11 02:05:00","Search Warrant","B","","",1,"Drugs - Heroin, Possession 2+ Grams 18 VSA 4233(A)(4) 35A",1,"U",0,"Unknown","U","Firearm Pointed",0,0,0,0,0,1,0,"",1,"","Subject 109",34,"Black","M",0,0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,"","No"
"BPD_UseOfForce_2012_2018.xlsx","12BU000897","Burlington","2012-01-11 02:16:00","Search Warrant","B","","",0,"",1,"U",0,"Unknown","U","Firearm Pointed",0,0,0,0,0,1,0,"",1,"","Subject 263",19,"Unknown","F",0,0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,"","No"
