Agency,"Sorted Race","Driver Area",Race,Years,"Agency Type",ShortAgencyName,"Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",ArrestDiffZScore,ArrestDiffPIsLT5pct,MalesDiffPIsLT5pct,"Agencies Included",RaceBarStyle,Tooltip,DriverPctInfo,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (PC/RS) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (PC/RS) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct",ACSCount
"Addison County Sheriff","1 - White","Addison County"," White",2014-18,sheriff,"Addison County",TRUE,6250,6510,7,5946,287,3958,6250,3958,0.96000000000,0.960,1.000,1,0.0011,0.9514,0.0459,0.0011,0.9514,0.0459,0.6333,0.6333,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Addison County",14,1,1,0,0.002,0.071,0.071,0.000,29922
"Addison County Sheriff","2 - Black","Addison County"," Black",2014-18,sheriff,"Addison County",TRUE,128,6510,1,118,6,112,6250,3958,0.01600000000,0.020,1.229,1,0.0078,0.9219,0.0469,0.0011,0.9514,0.0459,0.8750,0.6333,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Addison County",2,0,0,0,0.016,0.000,0.000,0.000,533
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2014-18,sheriff,"Addison County",TRUE,60,6510,0,59,1,34,6250,3958,0.02400000000,0.009,0.384,1,0.0000,0.9833,0.0167,0.0011,0.9514,0.0459,0.5667,0.6333,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,749
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2014-18,sheriff,"Addison County",TRUE,60,6510,2,57,1,47,6250,3958,0.00000000000,0.009,NULL,1,0.0333,0.9500,0.0167,0.0011,0.9514,0.0459,0.7833,0.6333,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Addison County",4,2,2,1,0.067,0.500,0.500,0.250,0
"All Police","1 - White","All Vermont"," White",2011-19,police,"All Police",TRUE,332330,356702,4386,111744,213925,186645,332330,186645,NULL,0.932,NULL,1,0.0132,0.3362,0.6437,0.0132,0.3362,0.6437,0.5616,0.5616,0.0,0.0,0.0,,#58ACFA,Unused,Unused,NULL,3743,2727,2116,552,0.011,0.729,0.565,0.147,NULL
"All Police","2 - Black","All Vermont"," Black",2011-19,police,"All Police",TRUE,13679,356702,307,4656,8706,9305,332330,186645,NULL,0.038,NULL,1,0.0224,0.3404,0.6365,0.0132,0.3362,0.6437,0.6802,0.5616,0.0,0.0,0.0,,#58FAAC,Unused,Unused,NULL,494,318,238,51,0.036,0.644,0.482,0.103,NULL
"All Police","3 - Asian","All Vermont"," Asian",2011-19,police,"All Police",TRUE,6986,356702,67,2249,4628,4169,332330,186645,NULL,0.020,NULL,1,0.0096,0.3219,0.6625,0.0132,0.3362,0.6437,0.5968,0.5616,0.0,0.0,0.0,,#9F81F7,Unused,Unused,NULL,43,25,20,6,0.006,0.581,0.465,0.140,NULL
"All Police","5 - Hispanic","All Vermont"," Hispanic",2011-19,police,"All Police",TRUE,3455,356702,66,1566,1820,2434,332330,186645,NULL,0.010,NULL,1,0.0191,0.4533,0.5268,0.0132,0.3362,0.6437,0.7045,0.5616,0.0,0.0,0.0,,#F7D358,Unused,Unused,NULL,68,44,40,4,0.020,0.647,0.588,0.059,NULL
"All Sheriffs","1 - White","All Vermont"," White",2014-18,sheriff,"All Sheriffs",TRUE,73416,75968,404,39702,28521,45501,73416,45501,NULL,0.966,NULL,1,0.0055,0.5408,0.3885,0.0055,0.5408,0.3885,0.6198,0.6198,0.0,0.0,0.0,,#58ACFA,Unused,Unused,NULL,383,259,230,37,0.005,0.676,0.601,0.097,NULL
"All Sheriffs","2 - Black","All Vermont"," Black",2014-18,sheriff,"All Sheriffs",TRUE,1059,75968,7,575,427,794,73416,45501,NULL,0.014,NULL,1,0.0066,0.5430,0.4032,0.0055,0.5408,0.3885,0.7498,0.6198,0.0,0.0,0.0,,#58FAAC,Unused,Unused,NULL,15,10,10,2,0.014,0.667,0.667,0.133,NULL
