Agency,"Sorted Race","Driver Area",Race,Year,"Agency Type","Full Agency","Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",StopDisparityDiffZScore,MalesDiffZScore,ArrestDiffZScore,TicketDiffZScore,WarningDiffZScore,"Agencies Included",RaceBarStyle,ToolTip,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","White Stops w/ Search (Any) Count","White Stops w/ Search (Any) + Contraband Count","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","White Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (Any) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct","White Stops w/ Search (PC/RS) Pct","White Stops w/ Search (Any) + Contraband Pct","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","White Stops w/ Search (Any) + Contraband + Arrest Pct"
"Addison County Sheriff","1 - White","Addison County"," White",2014,sheriff,"Addison County Sheriff",TRUE,634,655,0,634,0,400,634,400,0.9600000,0.968,1.008,1,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.6309,0.6309,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58ACFA,Unused,"Addison County",5,0,0,0,5,0,0,0,0.008,0.000,0.000,0.000,0.008,0.000,0.000,0.000
"Addison County Sheriff","2 - Black","Addison County"," Black",2014,sheriff,"Addison County Sheriff",FALSE,8,655,0,0,0,5,634,400,0.0160000,0.012,0.763,1,,,,0.0000,1.0000,0.0000,,0.6309,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58FAAC,Unused,"Addison County",0,0,0,0,5,0,0,0,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2014,sheriff,"Addison County Sheriff",FALSE,7,655,0,0,0,3,634,400,0.0240000,0.011,0.445,1,,,,0.0000,1.0000,0.0000,,0.6309,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#9F81F7,Unused,"Addison County",0,0,0,0,5,0,0,0,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2014,sheriff,"Addison County Sheriff",FALSE,6,655,0,0,0,3,634,400,0.0000000,0.009,0.000,1,,,,0.0000,1.0000,0.0000,,0.6309,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#F7D358,Unused,"Addison County",0,0,0,0,5,0,0,0,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000
"Addison County Sheriff","1 - White","Addison County"," White",2015,sheriff,"Addison County Sheriff",TRUE,2656,2756,4,2642,6,1691,2656,1691,0.9600000,0.964,1.004,1,0.0015,0.9947,0.0023,0.0015,0.9947,0.0023,0.6367,0.6367,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58ACFA,Unused,"Addison County",6,0,0,0,6,0,0,0,0.002,0.000,0.000,0.000,0.002,0.000,0.000,0.000
"Addison County Sheriff","2 - Black","Addison County"," Black",2015,sheriff,"Addison County Sheriff",TRUE,48,2756,0,45,0,43,2656,1691,0.0160000,0.017,1.089,1,0.0000,0.9375,0.0000,0.0015,0.9947,0.0023,0.8958,0.6367,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58FAAC,Unused,"Addison County",1,0,0,0,6,0,0,0,0.021,0.000,0.000,0.000,0.002,0.000,0.000,0.000
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2015,sheriff,"Addison County Sheriff",TRUE,23,2756,0,23,0,13,2656,1691,0.0240000,0.008,0.348,1,0.0000,1.0000,0.0000,0.0015,0.9947,0.0023,0.5652,0.6367,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#9F81F7,Unused,"Addison County",0,0,0,0,6,0,0,0,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2015,sheriff,"Addison County Sheriff",TRUE,22,2756,0,22,0,17,2656,1691,0.0000000,0.008,0.000,1,0.0000,1.0000,0.0000,0.0015,0.9947,0.0023,0.7727,0.6367,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#F7D358,Unused,"Addison County",1,0,0,0,6,0,0,0,0.045,0.000,0.000,0.000,0.002,0.000,0.000,0.000
"Addison County Sheriff","1 - White","Addison County"," White",2016,sheriff,"Addison County Sheriff",TRUE,1378,1436,1,1374,1,871,1378,871,0.9600000,0.960,1.000,1,0.0007,0.9971,0.0007,0.0007,0.9971,0.0007,0.6321,0.6321,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58ACFA,Unused,"Addison County",2,0,0,0,2,0,0,0,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000
"Addison County Sheriff","2 - Black","Addison County"," Black",2016,sheriff,"Addison County Sheriff",TRUE,31,1436,0,31,0,29,1378,871,0.0160000,0.022,1.349,1,0.0000,1.0000,0.0000,0.0007,0.9971,0.0007,0.9355,0.6321,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58FAAC,Unused,"Addison County",0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2016,sheriff,"Addison County Sheriff",FALSE,12,1436,0,0,0,6,1378,871,0.0240000,0.008,0.348,1,,,,0.0007,0.9971,0.0007,,0.6321,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#9F81F7,Unused,"Addison County",0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2016,sheriff,"Addison County Sheriff",FALSE,10,1436,0,0,0,6,1378,871,0.0000000,0.007,0.000,1,,,,0.0007,0.9971,0.0007,,0.6321,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#F7D358,Unused,"Addison County",0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
"Addison County Sheriff","1 - White","Addison County"," White",2017,sheriff,"Addison County Sheriff",TRUE,1431,1502,1,1189,236,899,1431,899,0.9600000,0.953,0.992,1,0.0007,0.8309,0.1649,0.0007,0.8309,0.1649,0.6282,0.6282,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58ACFA,Unused,"Addison County",1,1,1,0,1,1,1,0,0.001,1.000,1.000,0.000,0.001,1.000,1.000,0.000
"Addison County Sheriff","2 - Black","Addison County"," Black",2017,sheriff,"Addison County Sheriff",TRUE,36,1502,1,30,4,30,1431,899,0.0160000,0.024,1.498,1,0.0278,0.8333,0.1111,0.0007,0.8309,0.1649,0.8333,0.6282,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58FAAC,Unused,"Addison County",1,0,0,0,1,1,1,0,0.028,0.000,0.000,0.000,0.001,1.000,1.000,0.000
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2017,sheriff,"Addison County Sheriff",FALSE,16,1502,0,0,0,11,1431,899,0.0240000,0.011,0.444,1,,,,0.0007,0.8309,0.1649,,0.6282,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#9F81F7,Unused,"Addison County",0,0,0,0,1,1,1,0,0.000,0.000,0.000,0.000,0.001,1.000,1.000,0.000
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2017,sheriff,"Addison County Sheriff",FALSE,19,1502,0,0,0,19,1431,899,0.0000000,0.013,0.000,1,,,,0.0007,0.8309,0.1649,,0.6282,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#F7D358,Unused,"Addison County",0,0,0,0,1,1,1,0,0.000,0.000,0.000,0.000,0.001,1.000,1.000,0.000
"Addison County Sheriff","1 - White","Addison County"," White",2018,sheriff,"Addison County Sheriff",TRUE,151,161,1,107,44,97,151,97,0.9600000,0.938,0.977,1,0.0066,0.7086,0.2914,0.0066,0.7086,0.2914,0.6424,0.6424,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58ACFA,Unused,"Addison County",0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Addison County Sheriff","2 - Black","Addison County"," Black",2018,sheriff,"Addison County Sheriff",FALSE,5,161,0,0,0,5,151,97,0.0160000,0.031,1.941,1,,,,0.0066,0.7086,0.2914,,0.6424,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#58FAAC,Unused,"Addison County",0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Addison County Sheriff","3 - Asian","Addison County"," Asian",2018,sheriff,"Addison County Sheriff",FALSE,2,161,0,0,0,1,151,97,0.0240000,0.012,0.518,1,,,,0.0066,0.7086,0.2914,,0.6424,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#9F81F7,Unused,"Addison County",0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Addison County Sheriff","5 - Hispanic","Addison County"," Hispanic",2018,sheriff,"Addison County Sheriff",FALSE,3,161,0,0,0,2,151,97,0.0000000,0.019,0.000,1,,,,0.0066,0.7086,0.2914,,0.6424,0.0,0.0,0.0,0.0,0.0,"Addison County Sheriff",#F7D358,Unused,"Addison County",0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"All Police","1 - White","All Vermont"," White",2011,police,"All Police",TRUE,1579,1684,15,542,1031,902,1579,902,NULL,0.938,0.000,1,0.0095,0.3433,0.6529,0.0095,0.3433,0.6529,0.5712,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,22,18,14,5,22,18,14,5,0.014,0.818,0.636,0.227,0.014,0.818,0.636,0.227
"All Police","2 - Black","All Vermont"," Black",2011,police,"All Police",TRUE,59,1684,1,17,41,44,1579,902,NULL,0.035,0.000,1,0.0169,0.2881,0.6949,0.0095,0.3433,0.6529,0.7458,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,3,1,0,0,22,18,14,5,0.051,0.333,0.000,0.000,0.014,0.818,0.636,0.227
"All Police","3 - Asian","All Vermont"," Asian",2011,police,"All Police",TRUE,41,1684,1,6,34,24,1579,902,NULL,0.024,0.000,1,0.0244,0.1463,0.8293,0.0095,0.3433,0.6529,0.5854,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,0,0,0,0,22,18,14,5,0.000,0.000,0.000,0.000,0.014,0.818,0.636,0.227
