Agency,Driver Area,Race,Year,Agency Type,type,statistic
Addison County Sheriff,Addison County, White,2014,sheriff,Traffic Stop Count,634
Addison County Sheriff,Addison County, Black,2014,sheriff,Traffic Stop Count,8
Addison County Sheriff,Addison County, Asian,2014,sheriff,Traffic Stop Count,7
Addison County Sheriff,Addison County, Hispanic,2014,sheriff,Traffic Stop Count,6
Addison County Sheriff,Addison County, White,2015,sheriff,Traffic Stop Count,2656
Addison County Sheriff,Addison County, Black,2015,sheriff,Traffic Stop Count,48
Addison County Sheriff,Addison County, Asian,2015,sheriff,Traffic Stop Count,23
Addison County Sheriff,Addison County, Hispanic,2015,sheriff,Traffic Stop Count,22
Addison County Sheriff,Addison County, White,2016,sheriff,Traffic Stop Count,1378
Addison County Sheriff,Addison County, Black,2016,sheriff,Traffic Stop Count,31
Addison County Sheriff,Addison County, Asian,2016,sheriff,Traffic Stop Count,12
Addison County Sheriff,Addison County, Hispanic,2016,sheriff,Traffic Stop Count,10
Addison County Sheriff,Addison County, White,2017,sheriff,Traffic Stop Count,1431
Addison County Sheriff,Addison County, Black,2017,sheriff,Traffic Stop Count,36
Addison County Sheriff,Addison County, Asian,2017,sheriff,Traffic Stop Count,16
Addison County Sheriff,Addison County, Hispanic,2017,sheriff,Traffic Stop Count,19
Addison County Sheriff,Addison County, White,2018,sheriff,Traffic Stop Count,151
Addison County Sheriff,Addison County, Black,2018,sheriff,Traffic Stop Count,5
Addison County Sheriff,Addison County, Asian,2018,sheriff,Traffic Stop Count,2
Addison County Sheriff,Addison County, Hispanic,2018,sheriff,Traffic Stop Count,3
All Police,All Vermont, White,2011,police,Traffic Stop Count,1579
All Police,All Vermont, Black,2011,police,Traffic Stop Count,59
All Police,All Vermont, Asian,2011,police,Traffic Stop Count,41
All Police,All Vermont, Hispanic,2011,police,Traffic Stop Count,4
All Police,All Vermont, White,2012,police,Traffic Stop Count,9045
All Police,All Vermont, Black,2012,police,Traffic Stop Count,592
All Police,All Vermont, Asian,2012,police,Traffic Stop Count,312
All Police,All Vermont, Hispanic,2012,police,Traffic Stop Count,51
All Police,All Vermont, White,2013,police,Traffic Stop Count,15307
All Police,All Vermont, Black,2013,police,Traffic Stop Count,821
All Police,All Vermont, Asian,2013,police,Traffic Stop Count,449
All Police,All Vermont, Hispanic,2013,police,Traffic Stop Count,124
All Police,All Vermont, White,2014,police,Traffic Stop Count,27121
All Police,All Vermont, Black,2014,police,Traffic Stop Count,1185
All Police,All Vermont, Asian,2014,police,Traffic Stop Count,668
All Police,All Vermont, Hispanic,2014,police,Traffic Stop Count,200
All Police,All Vermont, White,2015,police,Traffic Stop Count,53953
All Police,All Vermont, Black,2015,police,Traffic Stop Count,2003
All Police,All Vermont, Asian,2015,police,Traffic Stop Count,1076
All Police,All Vermont, Hispanic,2015,police,Traffic Stop Count,525
All Police,All Vermont, White,2016,police,Traffic Stop Count,45972
All Police,All Vermont, Black,2016,police,Traffic Stop Count,1708
All Police,All Vermont, Asian,2016,police,Traffic Stop Count,880
All Police,All Vermont, Hispanic,2016,police,Traffic Stop Count,437
All Police,All Vermont, White,2017,police,Traffic Stop Count,74238
All Police,All Vermont, Black,2017,police,Traffic Stop Count,2630
All Police,All Vermont, Asian,2017,police,Traffic Stop Count,1378
All Police,All Vermont, Hispanic,2017,police,Traffic Stop Count,832
All Police,All Vermont, White,2018,police,Traffic Stop Count,72117
All Police,All Vermont, Black,2018,police,Traffic Stop Count,2791
All Police,All Vermont, Asian,2018,police,Traffic Stop Count,1359
All Police,All Vermont, Hispanic,2018,police,Traffic Stop Count,892
All Police,All Vermont, White,2019,police,Traffic Stop Count,32998
All Police,All Vermont, Black,2019,police,Traffic Stop Count,1890
All Police,All Vermont, Asian,2019,police,Traffic Stop Count,823
All Police,All Vermont, Hispanic,2019,police,Traffic Stop Count,390
All Sheriffs,All Vermont, White,2014,sheriff,Traffic Stop Count,1807
All Sheriffs,All Vermont, Black,2014,sheriff,Traffic Stop Count,20
All Sheriffs,All Vermont, Asian,2014,sheriff,Traffic Stop Count,16
All Sheriffs,All Vermont, Hispanic,2014,sheriff,Traffic Stop Count,14
All Sheriffs,All Vermont, White,2015,sheriff,Traffic Stop Count,10103
All Sheriffs,All Vermont, Black,2015,sheriff,Traffic Stop Count,152
